id,categoria,nome,desc,preco,imagem,,
1,espetos,Carne Bovina,"Mix de Carnes, Alcatra, Bananinha, Fraldinha",10.00,https://drive.google.com/file/d/1AZMEi_M-i4N1GwoMaQWh8JiIKjsrgBPs/view?usp=drive_link,,
2,espetos,Medalhão de Frango,Envolto em bacon,10.00,https://drive.google.com/file/d/1SRv2HLDW0MSHO0zwNBhjg-PJGyp5UxjY/view?usp=drive_link,,
3,espetos,Coração,Coração de frango temperado,10.00,https://drive.google.com/file/d/1ogg7byP5HjIN3cRq3c_zKODBZek-TuPZ/view?usp=drive_link,,
4,espetos,Linguiça,Linguiça,10.00,https://drive.google.com/file/d/1UR5JrBspHjIefQNFQ2wHsQkwImhD1OLK/view?usp=drive_link,,
5,espetos,Kafta com Queijo,Recheada com queijo,14.90,https://drive.google.com/file/d/1xz5vtRRInmeFHm_M07CCbpW3tOtdWKS9/view?usp=drive_link,,
6,espetos,Panceta,Panceta pururuca,10.00,https://drive.google.com/file/d/10wVKl74lLkIHree0hpf9EouUebQoS0QQ/view?usp=drive_link,,
7,espetos,Medalhão de Quiabo,Quiabo com bacon,10.00,https://drive.google.com/file/d/1lvWonaSOBfRLElTyRJfxIoBrGEyrvuIt/view?usp=drive_link,,
8,espetos,Queijo Coalho,Queijo coalho na brasa,11.90,https://drive.google.com/file/d/1_8lytzg2-z5boWXxzBAI6xOkKgktGZgQ/view?usp=drive_link,,
9,espetos,Medalhão de Queijo,Queijo com bacon,11.90,https://drive.google.com/file/d/1vBsXaqZJFiP0KAwFLrUbTiJHVIKakFRq/view?usp=drive_link,,
10,espetos,Provolone,Provolone defumado,11.90,https://drive.google.com/file/d/1tckxiVnaDj4laYdq94LivtrhvXqW3iE_/view?usp=drive_link,, 
11,espetos,Pão de Alho,Pão de alho recheado,8.50,https://drive.google.com/file/d/14T9e74PytlbVVSXJp3HF4nahfRcApNNL/view?usp=drive_link,,
12,espetos,Jantinha Completa,"Acompanha arroz, vinagrete e batata frita e um espeto do cardápio",22.90,https://drive.google.com/file/d/1Lp7jDfQzbCfmBypFOx_MIypuOdzbCT61/view?usp=drive_link,,
13,porcoes,Bolinho Tilápia com Queijo,Porção com molho especial,32.90,https://drive.google.com/file/d/1Wee0cr3UDW4Ez3RzW_2tbBH8uNokOHJk/view?usp=drive_link,,
14,porcoes,Bolinho Costela,Costela desfiada,32.90,https://drive.google.com/file/d/1Wee0cr3UDW4Ez3RzW_2tbBH8uNokOHJk/view?usp=drive_link,,
15,porcoes,Bolinho Carne Seca com Mandioca,Tradicional,32.90,https://drive.google.com/file/d/11tTbr2l2et17JLKenmcfOAr-6QFeDzL0/view?usp=drive_link,,
16,porcoes,Bolinho Mandioqueijo,Massa de mandioca com queijo,32.90,https://drive.google.com/file/d/1Wee0cr3UDW4Ez3RzW_2tbBH8uNokOHJk/view?usp=drive_link,,
17,porcoes,Coxinha Cremosa,Coxinha de frango com catupiry,32.90,https://drive.google.com/file/d/1Wee0cr3UDW4Ez3RzW_2tbBH8uNokOHJk/view?usp=drive_link,,
18,porcoes,Pérola de Queijo Canastra,Queijo canastra empanado,32.90,https://drive.google.com/file/d/1aq1FWB9pBcjiuvnv0sjpyGChjuWue14O/view?usp=drive_link,,
19,porcoes,Meia Batata,Porção menor de batata frita,16.90,https://drive.google.com/file/d/1oz7xLvrzTkpPmfEBrLCno8zG1diyk0wu/view?usp=drive_link,,
20,porcoes,Batata Frita,"Batata frita crocante, Adicionais: Bacon, Catupiry, cheddar e mussarela",26.90,https://drive.google.com/file/d/1IlawdsLSLCUEJyh_BDUSotPwv4gUo9dh/view?usp=drive_link,,
21,porcoes,Bolinho Alho Poró,Sabor marcante,32.90,https://drive.google.com/file/d/1Wee0cr3UDW4Ez3RzW_2tbBH8uNokOHJk/view?usp=drive_link,,
22,porcoes,Bolinho de Feijoada,Recheado com couve e torresmo,32.90,https://drive.google.com/file/d/1Wee0cr3UDW4Ez3RzW_2tbBH8uNokOHJk/view?usp=drive_link,,
23,porcoes,Costelinha Barbecue,Costelinha suína ao molho barbecue,64.90,https://drive.google.com/file/d/1tnyu4DDHIC9M7ujCDYjSsInJZqP2hHaD/view?usp=drive_link,,
24,porcoes,Isca de Tilápia,Filé de tilápia empanado,45.90,https://drive.google.com/file/d/10TkJ58VcTZ4QHDdEj724P3f-Cssxgyiv/view?usp=drive_link,,
25,porcoes,Isca de Frango,Frango empanado crocante,32.90,https://drive.google.com/file/d/1PQ0eiMlapRki7UBgg103HmzHsNNIBc4F/view?usp=drive_link,,
26,porcoes,Salada,Mix de folhas e legumes,16.90,https://drive.google.com/file/d/16o1Jr4vBvxDiTwwRJAeerI5AyOJvOU1U/view?usp=drive_link,,
27,porcoes,Torresmo,Torresmo de rolo sequinho,45.90,https://drive.google.com/file/d/1xofSO3llmvlHBwIyj2TjhaIGSQd_Mw4t/view?usp=drive_link,,
28,porcoes,Kibe com Queijo,Kibe recheado,32.90,https://drive.google.com/file/d/1xJ7zooaefGNCePe8To_83j4E21IRekrw/view?usp=drive_link,,
29,porcoes,Mandioca Frita Meia,Porção menor de mandioca,7.90,https://drive.google.com/file/d/1Wee0cr3UDW4Ez3RzW_2tbBH8uNokOHJk/view?usp=drive_link,,
30,porcoes,Mandioca Frita,Mandioca crocante,16.00,https://drive.google.com/file/d/1Wee0cr3UDW4Ez3RzW_2tbBH8uNokOHJk/view?usp=drive_link,,
